customer_id,fisrt_name,second_name,gender,date_of_birth,city,state,occupation,customer_segment,annual_income,join_date
CUST00001,Benjamin,White,Male,12/28/1986,Tokyo,Tokyo,Nurse,Retail,71981,8/4/2025
CUST00002,Sarah,Williams,Female,7/31/1989,Istanbul,Istanbul,Teacher,Retail,36139,1/11/2023
CUST00003,Dorothy,Scott,Female,8/16/1997,Nairobi,Nairobi County,Sales Associate,Retail,36971,3/14/2018
CUST00004,Timothy,Hall,Male,11/3/1982,Bogota,Bogota,Graphic Designer,Retail,62166,6/10/2024
CUST00005,Tyler,Green,Male,6/18/1958,Rome,Lazio,Civil Engineer,Premium,156567,6/6/2026
CUST00006,Jacob,Smith,Male,8/2/1984,New York,New York,Software Engineer,Premium,144258,7/12/2025
CUST00007,Karen,Campbell,Female,7/10/1958,Mumbai,Maharashtra,Bank Teller,Retail,45895,1/17/2023
CUST00008,Paul,Anderson,Male,3/6/2003,Cairo,Cairo,Marketing Specialist,Retail,59542,6/8/2024
CUST00009,Gregory,Wilson,Male,6/29/1977,Beijing,Beijing,Administrative Assistant,Retail,76191,5/18/2026
CUST00010,Karen,Davis,Female,3/18/1962,Seoul,Seoul,Teacher,Retail,67770,11/9/2021
CUST00011,Laura,Mitchell,Female,11/24/2002,Rio de Janeiro,Rio de Janeiro,Sales Associate,Retail,87042,5/16/2018
CUST00012,Rebecca,King,Female,3/5/1983,Toronto,Ontario,Project Manager,Premium,140785,1/5/2019
CUST00013,Anna,Moore,Female,6/22/1976,Hong Kong,Hong Kong,Civil Engineer,Premium,145255,12/5/2019
CUST00014,William,Adams,Male,3/10/1966,Delhi,Delhi,Driver,Retail,30874,6/6/2022
CUST00015,Lisa,Walker,Female,7/23/1978,Houston,Texas,Nurse,Retail,86930,9/26/2021
CUST00016,Angela,Taylor,Female,4/18/1992,Nairobi,Nairobi County,Data Analyst,Premium,138401,2/20/2026
CUST00017,Edward,Torres,Male,12/14/1982,Atlanta,Georgia,Bank Teller,Retail,66608,12/5/2023
